지역,규모,연도,월,분양가
서울, 60㎡이하,2015,10,5652
서울, 60㎡초과 85㎡이하,2015,10,5882
서울, 85㎡초과 102㎡이하,2015,10,5721
서울, 102㎡초과,2015,10,5879
인천, 60㎡이하,2015,10,3488
인천, 60㎡초과 85㎡이하,2015,10,3119
인천, 85㎡초과 102㎡이하,2015,10,3545
인천, 102㎡초과,2015,10,3408
경기, 60㎡이하,2015,10,3126
경기, 60㎡초과 85㎡이하,2015,10,3239
경기, 85㎡초과 102㎡이하,2015,10,3496
경기, 102㎡초과,2015,10,3680
부산, 60㎡이하,2015,10,2950
부산, 60㎡초과 85㎡이하,2015,10,2999
부산, 85㎡초과 102㎡이하,2015,10,2957
부산, 102㎡초과,2015,10,3500
대구, 60㎡이하,2015,10,2614
대구, 60㎡초과 85㎡이하,2015,10,2696
대구, 85㎡초과 102㎡이하,2015,10,2557
대구, 102㎡초과,2015,10,2598
광주, 60㎡이하,2015,10,2253
광주, 60㎡초과 85㎡이하,2015,10,2439
대전, 60㎡이하,2015,10,2585
대전, 60㎡초과 85㎡이하,2015,10,2428
대전, 85㎡초과 102㎡이하,2015,10,2461
울산, 60㎡이하,2015,10,2422
울산, 60㎡초과 85㎡이하,2015,10,3040
울산, 85㎡초과 102㎡이하,2015,10,2951
울산, 102㎡초과,2015,10,2690
세종, 60㎡이하,2015,10,2572
세종, 60㎡초과 85㎡이하,2015,10,2657
세종, 85㎡초과 102㎡이하,2015,10,2644
세종, 102㎡초과,2015,10,2692
강원, 60㎡이하,2015,10,2286
강원, 60㎡초과 85㎡이하,2015,10,2212
강원, 85㎡초과 102㎡이하,2015,10,2061
강원, 102㎡초과,2015,10,2171
충북, 60㎡이하,2015,10,1919
충북, 60㎡초과 85㎡이하,2015,10,2033
충북, 85㎡초과 102㎡이하,2015,10,2102
충북, 102㎡초과,2015,10,2369
충남, 60㎡이하,2015,10,2206
충남, 60㎡초과 85㎡이하,2015,10,2101
충남, 85㎡초과 102㎡이하,2015,10,2743
충남, 102㎡초과,2015,10,2442
전북, 60㎡이하,2015,10,2127
전북, 60㎡초과 85㎡이하,2015,10,2056
전북, 85㎡초과 102㎡이하,2015,10,2377
전북, 102㎡초과,2015,10,2250
전남, 60㎡이하,2015,10,1999
전남, 60㎡초과 85㎡이하,2015,10,1922
전남, 85㎡초과 102㎡이하,2015,10,2262
전남, 102㎡초과,2015,10,2292
경북, 60㎡이하,2015,10,2204
경북, 60㎡초과 85㎡이하,2015,10,2145
경북, 85㎡초과 102㎡이하,2015,10,2308
경북, 102㎡초과,2015,10,2222
경남, 60㎡이하,2015,10,2239
경남, 60㎡초과 85㎡이하,2015,10,2305
경남, 85㎡초과 102㎡이하,2015,10,2890
경남, 102㎡초과,2015,10,3014
제주, 60㎡초과 85㎡이하,2015,10,2225
제주, 85㎡초과 102㎡이하,2015,10,2583
제주, 102㎡초과,2015,10,2574
서울, 60㎡이하,2015,11,6320
서울, 60㎡초과 85㎡이하,2015,11,5964
서울, 85㎡초과 102㎡이하,2015,11,7092
서울, 102㎡초과,2015,11,6551
인천, 60㎡이하,2015,11,3328
인천, 60㎡초과 85㎡이하,2015,11,3119
인천, 85㎡초과 102㎡이하,2015,11,3545
인천, 102㎡초과,2015,11,3408
경기, 60㎡이하,2015,11,3079
경기, 60㎡초과 85㎡이하,2015,11,3202
경기, 85㎡초과 102㎡이하,2015,11,3391
경기, 102㎡초과,2015,11,3724
부산, 60㎡이하,2015,11,2982
부산, 60㎡초과 85㎡이하,2015,11,3037
부산, 85㎡초과 102㎡이하,2015,11,2957
부산, 102㎡초과,2015,11,3739
대구, 60㎡이하,2015,11,2503
대구, 60㎡초과 85㎡이하,2015,11,2806
대구, 85㎡초과 102㎡이하,2015,11,2557
대구, 102㎡초과,2015,11,2743
광주, 60㎡이하,2015,11,2251
광주, 60㎡초과 85㎡이하,2015,11,2444
대전, 60㎡이하,2015,11,2585
대전, 60㎡초과 85㎡이하,2015,11,2428
대전, 85㎡초과 102㎡이하,2015,11,2461
울산, 60㎡이하,2015,11,2584
울산, 60㎡초과 85㎡이하,2015,11,3048
울산, 85㎡초과 102㎡이하,2015,11,2663
울산, 102㎡초과,2015,11,2874
세종, 60㎡이하,2015,11,2572
세종, 60㎡초과 85㎡이하,2015,11,2666
세종, 85㎡초과 102㎡이하,2015,11,2644
세종, 102㎡초과,2015,11,2749
강원, 60㎡이하,2015,11,2292
강원, 60㎡초과 85㎡이하,2015,11,2193
강원, 85㎡초과 102㎡이하,2015,11,2061
강원, 102㎡초과,2015,11,2171
충북, 60㎡이하,2015,11,1921
충북, 60㎡초과 85㎡이하,2015,11,2015
충북, 85㎡초과 102㎡이하,2015,11,1868
충북, 102㎡초과,2015,11,2277
충남, 60㎡이하,2015,11,2214
충남, 60㎡초과 85㎡이하,2015,11,2105
충남, 85㎡초과 102㎡이하,2015,11,2523
충남, 102㎡초과,2015,11,2468
전북, 60㎡이하,2015,11,2129
전북, 60㎡초과 85㎡이하,2015,11,2057
전북, 85㎡초과 102㎡이하,2015,11,2377
전북, 102㎡초과,2015,11,2282
전남, 60㎡이하,2015,11,1999
전남, 60㎡초과 85㎡이하,2015,11,1906
전남, 85㎡초과 102㎡이하,2015,11,2262
전남, 102㎡초과,2015,11,2176
경북, 60㎡이하,2015,11,2210
경북, 60㎡초과 85㎡이하,2015,11,2186
경북, 85㎡초과 102㎡이하,2015,11,2516
경북, 102㎡초과,2015,11,2370
경남, 60㎡이하,2015,11,2200
경남, 60㎡초과 85㎡이하,2015,11,2322
경남, 85㎡초과 102㎡이하,2015,11,2980
경남, 102㎡초과,2015,11,3043
제주, 60㎡초과 85㎡이하,2015,11,2225
제주, 85㎡초과 102㎡이하,2015,11,2583
제주, 102㎡초과,2015,11,2574
서울, 60㎡이하,2015,12,6321
서울, 60㎡초과 85㎡이하,2015,12,5966
서울, 85㎡초과 102㎡이하,2015,12,6513
서울, 102㎡초과,2015,12,6551
인천, 60㎡이하,2015,12,3328
인천, 60㎡초과 85㎡이하,2015,12,3119
인천, 85㎡초과 102㎡이하,2015,12,3545
인천, 102㎡초과,2015,12,3408
경기, 60㎡이하,2015,12,3293
경기, 60㎡초과 85㎡이하,2015,12,3314
경기, 85㎡초과 102㎡이하,2015,12,3449
경기, 102㎡초과,2015,12,3850
부산, 60㎡이하,2015,12,2951
부산, 60㎡초과 85㎡이하,2015,12,3032
부산, 85㎡초과 102㎡이하,2015,12,2957
부산, 102㎡초과,2015,12,3739
대구, 60㎡이하,2015,12,3282
대구, 60㎡초과 85㎡이하,2015,12,2971
대구, 85㎡초과 102㎡이하,2015,12,2532
대구, 102㎡초과,2015,12,2743
광주, 60㎡이하,2015,12,2395
광주, 60㎡초과 85㎡이하,2015,12,2489
대전, 60㎡이하,2015,12,2585
대전, 60㎡초과 85㎡이하,2015,12,2428
대전, 85㎡초과 102㎡이하,2015,12,2461
울산, 60㎡이하,2015,12,2584
울산, 60㎡초과 85㎡이하,2015,12,3048
울산, 85㎡초과 102㎡이하,2015,12,2663
울산, 102㎡초과,2015,12,2874
세종, 60㎡이하,2015,12,2601
세종, 60㎡초과 85㎡이하,2015,12,2676
세종, 85㎡초과 102㎡이하,2015,12,2661
세종, 102㎡초과,2015,12,2752
강원, 60㎡이하,2015,12,2292
강원, 60㎡초과 85㎡이하,2015,12,2193
강원, 85㎡초과 102㎡이하,2015,12,2061
강원, 102㎡초과,2015,12,2171
충북, 60㎡이하,2015,12,1941
충북, 60㎡초과 85㎡이하,2015,12,2017
충북, 85㎡초과 102㎡이하,2015,12,2276
충북, 102㎡초과,2015,12,2261
충남, 60㎡이하,2015,12,2438
충남, 60㎡초과 85㎡이하,2015,12,2279
충남, 85㎡초과 102㎡이하,2015,12,2523
충남, 102㎡초과,2015,12,2444
전북, 60㎡이하,2015,12,1925
전북, 60㎡초과 85㎡이하,2015,12,1987
전북, 85㎡초과 102㎡이하,2015,12,2377
전북, 102㎡초과,2015,12,2282
전남, 60㎡이하,2015,12,1999
전남, 60㎡초과 85㎡이하,2015,12,1906
전남, 85㎡초과 102㎡이하,2015,12,2262
전남, 102㎡초과,2015,12,2176
경북, 60㎡이하,2015,12,2178
경북, 60㎡초과 85㎡이하,2015,12,2184
경북, 85㎡초과 102㎡이하,2015,12,2516
경북, 102㎡초과,2015,12,2370
경남, 60㎡이하,2015,12,2280
경남, 60㎡초과 85㎡이하,2015,12,2329
경남, 85㎡초과 102㎡이하,2015,12,2934
경남, 102㎡초과,2015,12,3019
제주, 60㎡초과 85㎡이하,2015,12,2260
제주, 85㎡초과 102㎡이하,2015,12,2583
제주, 102㎡초과,2015,12,2574
서울, 60㎡이하,2016,1,6427
서울, 60㎡초과 85㎡이하,2016,1,6036
서울, 85㎡초과 102㎡이하,2016,1,6513
서울, 102㎡초과,2016,1,6551
인천, 60㎡이하,2016,1,3328
인천, 60㎡초과 85㎡이하,2016,1,3110
인천, 85㎡초과 102㎡이하,2016,1,3545
인천, 102㎡초과,2016,1,3408
경기, 60㎡이하,2016,1,3293
경기, 60㎡초과 85㎡이하,2016,1,3313
경기, 85㎡초과 102㎡이하,2016,1,3450
경기, 102㎡초과,2016,1,3850
부산, 60㎡이하,2016,1,2951
부산, 60㎡초과 85㎡이하,2016,1,3057
부산, 85㎡초과 102㎡이하,2016,1,2957
부산, 102㎡초과,2016,1,3812
대구, 60㎡이하,2016,1,3341
대구, 60㎡초과 85㎡이하,2016,1,3103
대구, 85㎡초과 102㎡이하,2016,1,2532
대구, 102㎡초과,2016,1,2743
광주, 60㎡이하,2016,1,2395
광주, 60㎡초과 85㎡이하,2016,1,2582
대전, 60㎡이하,2016,1,2585
대전, 60㎡초과 85㎡이하,2016,1,2428
대전, 85㎡초과 102㎡이하,2016,1,2461
울산, 60㎡이하,2016,1,2584
울산, 60㎡초과 85㎡이하,2016,1,3053
울산, 85㎡초과 102㎡이하,2016,1,2663
울산, 102㎡초과,2016,1,2874
세종, 60㎡이하,2016,1,2601
세종, 60㎡초과 85㎡이하,2016,1,2676
세종, 85㎡초과 102㎡이하,2016,1,2661
세종, 102㎡초과,2016,1,2752
강원, 60㎡이하,2016,1,2290
강원, 60㎡초과 85㎡이하,2016,1,2199
강원, 85㎡초과 102㎡이하,2016,1,2061
강원, 102㎡초과,2016,1,2171
충북, 60㎡이하,2016,1,1952
충북, 60㎡초과 85㎡이하,2016,1,2021
충북, 85㎡초과 102㎡이하,2016,1,2276
충북, 102㎡초과,2016,1,2261
충남, 60㎡이하,2016,1,2481
충남, 60㎡초과 85㎡이하,2016,1,2281
충남, 85㎡초과 102㎡이하,2016,1,2541
충남, 102㎡초과,2016,1,2444
전북, 60㎡이하,2016,1,1908
전북, 60㎡초과 85㎡이하,2016,1,1987
전북, 85㎡초과 102㎡이하,2016,1,2377
전북, 102㎡초과,2016,1,2282
전남, 60㎡이하,2016,1,1999
전남, 60㎡초과 85㎡이하,2016,1,1906
전남, 85㎡초과 102㎡이하,2016,1,2262
전남, 102㎡초과,2016,1,2176
경북, 60㎡이하,2016,1,2178
경북, 60㎡초과 85㎡이하,2016,1,2185
경북, 85㎡초과 102㎡이하,2016,1,2516
경북, 102㎡초과,2016,1,2346
경남, 60㎡이하,2016,1,2270
경남, 60㎡초과 85㎡이하,2016,1,2348
경남, 85㎡초과 102㎡이하,2016,1,2925
경남, 102㎡초과,2016,1,2828
제주, 60㎡초과 85㎡이하,2016,1,2260
제주, 85㎡초과 102㎡이하,2016,1,2583
제주, 102㎡초과,2016,1,2574
서울, 60㎡이하,2016,2,6438
서울, 60㎡초과 85㎡이하,2016,2,6039
서울, 85㎡초과 102㎡이하,2016,2,6513
서울, 102㎡초과,2016,2,6458
인천, 60㎡이하,2016,2,3328
인천, 60㎡초과 85㎡이하,2016,2,3112
인천, 85㎡초과 102㎡이하,2016,2,3545
인천, 102㎡초과,2016,2,3408
경기, 60㎡이하,2016,2,3294
경기, 60㎡초과 85㎡이하,2016,2,3268
경기, 85㎡초과 102㎡이하,2016,2,3381
경기, 102㎡초과,2016,2,3669
부산, 60㎡이하,2016,2,2999
부산, 60㎡초과 85㎡이하,2016,2,3060
부산, 85㎡초과 102㎡이하,2016,2,2957
부산, 102㎡초과,2016,2,3812
대구, 60㎡이하,2016,2,3341
대구, 60㎡초과 85㎡이하,2016,2,3079
대구, 85㎡초과 102㎡이하,2016,2,2532
대구, 102㎡초과,2016,2,2743
광주, 60㎡이하,2016,2,2395
광주, 60㎡초과 85㎡이하,2016,2,2582
대전, 60㎡이하,2016,2,2585
대전, 60㎡초과 85㎡이하,2016,2,2428
대전, 85㎡초과 102㎡이하,2016,2,2461
울산, 60㎡이하,2016,2,2584
울산, 60㎡초과 85㎡이하,2016,2,3053
울산, 85㎡초과 102㎡이하,2016,2,2663
울산, 102㎡초과,2016,2,2874
세종, 60㎡이하,2016,2,2601
세종, 60㎡초과 85㎡이하,2016,2,2676
세종, 85㎡초과 102㎡이하,2016,2,2661
세종, 102㎡초과,2016,2,2752
강원, 60㎡이하,2016,2,2290
강원, 60㎡초과 85㎡이하,2016,2,2200
강원, 102㎡초과,2016,2,2350
충북, 60㎡이하,2016,2,1952
충북, 60㎡초과 85㎡이하,2016,2,2021
충북, 85㎡초과 102㎡이하,2016,2,2276
충북, 102㎡초과,2016,2,2261
충남, 60㎡이하,2016,2,2496
충남, 60㎡초과 85㎡이하,2016,2,2282
충남, 85㎡초과 102㎡이하,2016,2,2541
충남, 102㎡초과,2016,2,2444
전북, 60㎡이하,2016,2,1908
전북, 60㎡초과 85㎡이하,2016,2,1987
전북, 85㎡초과 102㎡이하,2016,2,2377
전북, 102㎡초과,2016,2,2283
전남, 60㎡이하,2016,2,1999
전남, 60㎡초과 85㎡이하,2016,2,1921
전남, 85㎡초과 102㎡이하,2016,2,2262
전남, 102㎡초과,2016,2,2176
경북, 60㎡이하,2016,2,2172
경북, 60㎡초과 85㎡이하,2016,2,2191
경북, 85㎡초과 102㎡이하,2016,2,2532
경북, 102㎡초과,2016,2,2346
경남, 60㎡이하,2016,2,2361
경남, 60㎡초과 85㎡이하,2016,2,2375
경남, 85㎡초과 102㎡이하,2016,2,2925
경남, 102㎡초과,2016,2,2673
제주, 60㎡초과 85㎡이하,2016,2,2260
제주, 85㎡초과 102㎡이하,2016,2,2583
제주, 102㎡초과,2016,2,2574
서울, 60㎡이하,2016,3,6550
서울, 60㎡초과 85㎡이하,2016,3,6127
서울, 85㎡초과 102㎡이하,2016,3,7179
서울, 102㎡초과,2016,3,6371
인천, 60㎡이하,2016,3,3323
인천, 60㎡초과 85㎡이하,2016,3,3111
인천, 85㎡초과 102㎡이하,2016,3,3545
인천, 102㎡초과,2016,3,3408
경기, 60㎡이하,2016,3,3441
경기, 60㎡초과 85㎡이하,2016,3,3259
경기, 85㎡초과 102㎡이하,2016,3,3363
경기, 102㎡초과,2016,3,3680
부산, 60㎡이하,2016,3,2951
부산, 60㎡초과 85㎡이하,2016,3,3102
부산, 85㎡초과 102㎡이하,2016,3,2957
부산, 102㎡초과,2016,3,3727
대구, 60㎡이하,2016,3,3341
대구, 60㎡초과 85㎡이하,2016,3,3154
대구, 85㎡초과 102㎡이하,2016,3,2539
대구, 102㎡초과,2016,3,2743
광주, 60㎡이하,2016,3,2470
광주, 60㎡초과 85㎡이하,2016,3,2601
대전, 60㎡이하,2016,3,2585
대전, 60㎡초과 85㎡이하,2016,3,2428
대전, 85㎡초과 102㎡이하,2016,3,2461
울산, 60㎡이하,2016,3,2584
울산, 60㎡초과 85㎡이하,2016,3,3075
울산, 85㎡초과 102㎡이하,2016,3,2663
울산, 102㎡초과,2016,3,3057
세종, 60㎡이하,2016,3,2601
세종, 60㎡초과 85㎡이하,2016,3,2681
세종, 85㎡초과 102㎡이하,2016,3,2670
세종, 102㎡초과,2016,3,2752
강원, 60㎡이하,2016,3,2249
강원, 60㎡초과 85㎡이하,2016,3,2221
강원, 102㎡초과,2016,3,2350
충북, 60㎡이하,2016,3,1925
충북, 60㎡초과 85㎡이하,2016,3,2021
충북, 85㎡초과 102㎡이하,2016,3,2276
충북, 102㎡초과,2016,3,2261
충남, 60㎡이하,2016,3,2226
충남, 60㎡초과 85㎡이하,2016,3,2114
충남, 85㎡초과 102㎡이하,2016,3,2541
충남, 102㎡초과,2016,3,2444
전북, 60㎡이하,2016,3,1910
전북, 60㎡초과 85㎡이하,2016,3,1959
전북, 85㎡초과 102㎡이하,2016,3,2269
전북, 102㎡초과,2016,3,2293
전남, 60㎡이하,2016,3,2002
전남, 60㎡초과 85㎡이하,2016,3,1919
전남, 85㎡초과 102㎡이하,2016,3,2262
전남, 102㎡초과,2016,3,2176
경북, 60㎡이하,2016,3,2173
경북, 60㎡초과 85㎡이하,2016,3,2191
경북, 85㎡초과 102㎡이하,2016,3,2675
경북, 102㎡초과,2016,3,2314
경남, 60㎡이하,2016,3,2366
경남, 60㎡초과 85㎡이하,2016,3,2392
경남, 85㎡초과 102㎡이하,2016,3,3053
경남, 102㎡초과,2016,3,2645
제주, 60㎡초과 85㎡이하,2016,3,2314
서울, 60㎡이하,2016,4,6618
서울, 60㎡초과 85㎡이하,2016,4,6196
서울, 85㎡초과 102㎡이하,2016,4,8096
서울, 102㎡초과,2016,4,6353
인천, 60㎡이하,2016,4,3323
인천, 60㎡초과 85㎡이하,2016,4,3147
인천, 85㎡초과 102㎡이하,2016,4,3545
인천, 102㎡초과,2016,4,4839
경기, 60㎡이하,2016,4,3400
경기, 60㎡초과 85㎡이하,2016,4,3243
경기, 85㎡초과 102㎡이하,2016,4,3395
경기, 102㎡초과,2016,4,3611
부산, 60㎡이하,2016,4,2973
부산, 60㎡초과 85㎡이하,2016,4,3087
부산, 85㎡초과 102㎡이하,2016,4,2930
부산, 102㎡초과,2016,4,3727
대구, 60㎡이하,2016,4,3341
대구, 60㎡초과 85㎡이하,2016,4,3168
대구, 85㎡초과 102㎡이하,2016,4,2539
대구, 102㎡초과,2016,4,2743
광주, 60㎡이하,2016,4,2600
광주, 60㎡초과 85㎡이하,2016,4,2696
광주, 85㎡초과 102㎡이하,2016,4,2754
광주, 102㎡초과,2016,4,3518
대전, 60㎡이하,2016,4,2529
대전, 60㎡초과 85㎡이하,2016,4,2425
울산, 60㎡이하,2016,4,2586
울산, 60㎡초과 85㎡이하,2016,4,3076
울산, 85㎡초과 102㎡이하,2016,4,2663
울산, 102㎡초과,2016,4,2967
세종, 60㎡이하,2016,4,2656
세종, 60㎡초과 85㎡이하,2016,4,2699
세종, 85㎡초과 102㎡이하,2016,4,2654
세종, 102㎡초과,2016,4,2714
강원, 60㎡이하,2016,4,2143
강원, 60㎡초과 85㎡이하,2016,4,2183
강원, 102㎡초과,2016,4,2350
충북, 60㎡이하,2016,4,1915
충북, 60㎡초과 85㎡이하,2016,4,2010
충북, 85㎡초과 102㎡이하,2016,4,2276
충북, 102㎡초과,2016,4,2261
충남, 60㎡이하,2016,4,2295
충남, 60㎡초과 85㎡이하,2016,4,2160
충남, 85㎡초과 102㎡이하,2016,4,2541
충남, 102㎡초과,2016,4,2638
전북, 60㎡이하,2016,4,1900
전북, 60㎡초과 85㎡이하,2016,4,1916
전북, 85㎡초과 102㎡이하,2016,4,2269
전북, 102㎡초과,2016,4,2380
전남, 60㎡이하,2016,4,1989
전남, 60㎡초과 85㎡이하,2016,4,1923
전남, 85㎡초과 102㎡이하,2016,4,2262
전남, 102㎡초과,2016,4,2176
경북, 60㎡이하,2016,4,2171
경북, 60㎡초과 85㎡이하,2016,4,2189
경북, 85㎡초과 102㎡이하,2016,4,2675
경북, 102㎡초과,2016,4,2314
경남, 60㎡이하,2016,4,2413
경남, 60㎡초과 85㎡이하,2016,4,2389
경남, 85㎡초과 102㎡이하,2016,4,3176
경남, 102㎡초과,2016,4,2660
제주, 60㎡이하,2016,4,2853
제주, 60㎡초과 85㎡이하,2016,4,2752
제주, 85㎡초과 102㎡이하,2016,4,2725
제주, 102㎡초과,2016,4,2602
서울, 60㎡이하,2016,5,6638
서울, 60㎡초과 85㎡이하,2016,5,6205
서울, 85㎡초과 102㎡이하,2016,5,7725
서울, 102㎡초과,2016,5,6353
인천, 60㎡이하,2016,5,3323
인천, 60㎡초과 85㎡이하,2016,5,3147
인천, 85㎡초과 102㎡이하,2016,5,3367
인천, 102㎡초과,2016,5,4192
경기, 60㎡이하,2016,5,3720
경기, 60㎡초과 85㎡이하,2016,5,3443
경기, 85㎡초과 102㎡이하,2016,5,3370
경기, 102㎡초과,2016,5,3956
부산, 60㎡이하,2016,5,2977
부산, 60㎡초과 85㎡이하,2016,5,3071
부산, 85㎡초과 102㎡이하,2016,5,3096
부산, 102㎡초과,2016,5,3536
대구, 60㎡이하,2016,5,3385
대구, 60㎡초과 85㎡이하,2016,5,3166
대구, 85㎡초과 102㎡이하,2016,5,2539
대구, 102㎡초과,2016,5,2743
광주, 60㎡이하,2016,5,2567
광주, 60㎡초과 85㎡이하,2016,5,2723
광주, 85㎡초과 102㎡이하,2016,5,2754
광주, 102㎡초과,2016,5,3518
대전, 60㎡이하,2016,5,2582
대전, 60㎡초과 85㎡이하,2016,5,2427
울산, 60㎡이하,2016,5,2600
울산, 60㎡초과 85㎡이하,2016,5,3080
울산, 85㎡초과 102㎡이하,2016,5,2663
울산, 102㎡초과,2016,5,2967
세종, 60㎡이하,2016,5,2656
세종, 60㎡초과 85㎡이하,2016,5,2699
세종, 85㎡초과 102㎡이하,2016,5,2654
세종, 102㎡초과,2016,5,2714
강원, 60㎡이하,2016,5,2113
강원, 60㎡초과 85㎡이하,2016,5,2150
강원, 102㎡초과,2016,5,2289
충북, 60㎡이하,2016,5,1925
충북, 60㎡초과 85㎡이하,2016,5,2024
충북, 85㎡초과 102㎡이하,2016,5,2276
충북, 102㎡초과,2016,5,2271
충남, 60㎡이하,2016,5,2301
충남, 60㎡초과 85㎡이하,2016,5,2150
충남, 85㎡초과 102㎡이하,2016,5,2554
충남, 102㎡초과,2016,5,2638
전북, 60㎡이하,2016,5,1909
전북, 60㎡초과 85㎡이하,2016,5,1955
전북, 85㎡초과 102㎡이하,2016,5,2269
전북, 102㎡초과,2016,5,2322
전남, 60㎡이하,2016,5,1989
전남, 60㎡초과 85㎡이하,2016,5,1925
전남, 85㎡초과 102㎡이하,2016,5,2262
전남, 102㎡초과,2016,5,2176
경북, 60㎡이하,2016,5,2171
경북, 60㎡초과 85㎡이하,2016,5,2189
경북, 85㎡초과 102㎡이하,2016,5,2675
경북, 102㎡초과,2016,5,2323
경남, 60㎡이하,2016,5,2423
경남, 60㎡초과 85㎡이하,2016,5,2380
경남, 85㎡초과 102㎡이하,2016,5,3278
경남, 102㎡초과,2016,5,2741
제주, 60㎡이하,2016,5,2853
제주, 60㎡초과 85㎡이하,2016,5,2712
제주, 85㎡초과 102㎡이하,2016,5,2708
제주, 102㎡초과,2016,5,2605
서울, 60㎡이하,2016,6,6562
서울, 60㎡초과 85㎡이하,2016,6,6218
서울, 85㎡초과 102㎡이하,2016,6,7732
서울, 102㎡초과,2016,6,6365
인천, 60㎡이하,2016,6,2981
인천, 60㎡초과 85㎡이하,2016,6,3353
인천, 85㎡초과 102㎡이하,2016,6,3453
인천, 102㎡초과,2016,6,3576
경기, 60㎡이하,2016,6,3781
경기, 60㎡초과 85㎡이하,2016,6,3539
경기, 85㎡초과 102㎡이하,2016,6,3334
경기, 102㎡초과,2016,6,4073
부산, 60㎡이하,2016,6,2972
부산, 60㎡초과 85㎡이하,2016,6,3069
부산, 85㎡초과 102㎡이하,2016,6,3253
부산, 102㎡초과,2016,6,3723
대구, 60㎡이하,2016,6,3385
대구, 60㎡초과 85㎡이하,2016,6,3165
대구, 85㎡초과 102㎡이하,2016,6,2839
대구, 102㎡초과,2016,6,2743
광주, 60㎡이하,2016,6,2567
광주, 60㎡초과 85㎡이하,2016,6,2743
광주, 85㎡초과 102㎡이하,2016,6,2754
광주, 102㎡초과,2016,6,3518
대전, 60㎡이하,2016,6,2648
대전, 60㎡초과 85㎡이하,2016,6,2547
울산, 60㎡이하,2016,6,2557
울산, 60㎡초과 85㎡이하,2016,6,3074
울산, 85㎡초과 102㎡이하,2016,6,2663
울산, 102㎡초과,2016,6,2967
세종, 60㎡이하,2016,6,2715
세종, 60㎡초과 85㎡이하,2016,6,2704
세종, 85㎡초과 102㎡이하,2016,6,2660
세종, 102㎡초과,2016,6,2610
강원, 60㎡이하,2016,6,2099
